"name","pop","location"
"Quthbullapur","225816","https://www.google.com/maps/?q=17.5011,78.4582"
"Karnal","225049","https://www.google.com/maps/?q=29.692,76.9845"
"Arrah","223676","https://www.google.com/maps/?q=25.5563,84.6634"
"Imphal","223523","https://www.google.com/maps/?q=24.8081,93.9442"
"Gosaba","222764","https://www.google.com/maps/?q=22.1655,88.8007"
"Mirzapur","220029","https://www.google.com/maps/?q=25.1449,82.5653"
"Kharagpur","219665","https://www.google.com/maps/?q=22.3397,87.325"
"Dhanbad","219636","https://www.google.com/maps/?q=23.802,86.4432"
"Tanjore","219571","https://www.google.com/maps/?q=10.7852,79.1391"
"Amarnath","217780","https://www.google.com/maps/?q=19.2,73.1667"
"Nagercoil","213858","https://www.google.com/maps/?q=8.17899,77.4323"
"Pali","210103","https://www.google.com/maps/?q=25.7728,73.3233"
"Yamunanagar","208931","https://www.google.com/maps/?q=30.128,77.2837"
"Rewa","208461","https://www.google.com/maps/?q=24.5326,81.2923"
"Secunderabad","204182","https://www.google.com/maps/?q=17.5043,78.5426"
"Bidar","204071","https://www.google.com/maps/?q=17.9133,77.5301"
"Agartala","203264","https://www.google.com/maps/?q=23.8361,91.2794"
"Monghyr","203163","https://www.google.com/maps/?q=25.3746,86.4745"
"Burhanpur","202695","https://www.google.com/maps/?q=21.3087,76.2303"
"Nadiad","202067","https://www.google.com/maps/?q=22.6938,72.8616"
"Chapra","201597","https://www.google.com/maps/?q=25.7803,84.7471"
"Dindigul","200797","https://www.google.com/maps/?q=10.369,77.9804"
"Panchkula","200000","https://www.google.com/maps/?q=30.6946,76.8504"
"Sikar","199932","https://www.google.com/maps/?q=27.6121,75.14"
"Bulandshahr","198612","https://www.google.com/maps/?q=28.4039,77.8577"
"Purnia","198453","https://www.google.com/maps/?q=25.7789,87.4742"
"Hospet","197846","https://www.google.com/maps/?q=15.2695,76.3871"
"Gurgaon","197340","https://www.google.com/maps/?q=28.4601,77.0264"
"Sambhal","196109","https://www.google.com/maps/?q=28.585,78.5696"
"Gandhinagar","195985","https://www.google.com/maps/?q=23.2167,72.6833"
"Murwara","195856","https://www.google.com/maps/?q=23.8378,80.3941"
"Nangloi Jat","194363","https://www.google.com/maps/?q=28.6796,77.068"
"Machilipatnam","192827","https://www.google.com/maps/?q=16.1875,81.1389"
"Katihar","192555","https://www.google.com/maps/?q=25.5385,87.5704"
"Bhiwani","190855","https://www.google.com/maps/?q=28.793,76.1397"
"Kultali","187942","https://www.google.com/maps/?q=21.9,88.4"
"Raebareli","186433","https://www.google.com/maps/?q=26.2309,81.2331"
"Haridwar","186079","https://www.google.com/maps/?q=29.9479,78.1602"
"Singrauli","185580","https://www.google.com/maps/?q=24.1997,82.6753"
"Junagadh","184447","https://www.google.com/maps/?q=21.5197,70.4598"
"Sujangarh","183808","https://www.google.com/maps/?q=27.7,74.4667"
"Ellore","183387","https://www.google.com/maps/?q=16.7131,81.1044"
"Bhusaval","183001","https://www.google.com/maps/?q=21.0436,75.7851"
"Khandwa","182841","https://www.google.com/maps/?q=21.8243,76.3509"
"Bahraigh","182218","https://www.google.com/maps/?q=27.5743,81.5947"
"Sirsa","181639","https://www.google.com/maps/?q=29.5349,75.029"
"Chandannagar","180623","https://www.google.com/maps/?q=22.8622,88.368"
"Baharampur","180547","https://www.google.com/maps/?q=24.1047,88.2515"
"Surendranagar","179628","https://www.google.com/maps/?q=22.7271,71.6486"
"Vizianagaram","179358","https://www.google.com/maps/?q=18.1169,83.4115"
"Proddatur","177797","https://www.google.com/maps/?q=14.7502,78.5481"
"Vellore","177081","https://www.google.com/maps/?q=12.9184,79.1326"
